Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Παραστατικά Εσόδων;Υπόλοιπο Παρ. Εσόδων ως προς Δ.Π.;Βεβαιωθέντα;Διαγραφές Παραγραφές;Τελικά Βεβαιωθέντα;Υπόλοιπο Βεβαιωθέντων    ως προς Δ.Π.;Εισπραχθέντα;Υπόλοιπο Εισπραχθέντων    ως προς Δ.Π.;Υπόλοιπο (Βεβαιωθέντα - Εισπραχθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.
06;Πιστωτικοί Λογ/σμοί Δημ.Λογιστικού;198.483.469,17;39.724.116,34;238.207.585,51;22.519.209,03;215.688.376,48;89.185.473,69;0,00;89.185.473,69;149.022.111,82;88.268.268,32;149.939.317,19;917.205,37;0,00;-22.519.209,03;238.207.585,51
06.00;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;6.517.561,60;-1.983.814,91;4.533.746,69;0,00;4.533.746,69;-2.725.163,11;0,00;-2.725.163,11;7.258.909,80;-2.725.163,11;7.258.909,80;0,00;0,00;0,00;4.533.746,69
06.00.292;ΥΠΗΡΕΣΙΕΣ ΚΤΗΝΟΤΡΟΦΙΑΣ;0,00;0,00;0,00;0,00;0,00;348,50;0,00;348,50;-348,50;348,50;-348,50;0,00;0,00;0,00;0,00
06.00.292.0000;Επιχορηγήσεις;0,00;0,00;0,00;0,00;0,00;348,50;0,00;348,50;-348,50;348,50;-348,50;0,00;0,00;0,00;0,00
06.00.292.0100;Επιχορήγηση από τον τακτικό κρατικό προϋπολογισμό;0,00;0,00;0,00;0,00;0,00;-650,00;0,00;-650,00;650,00;-650,00;650,00;0,00;0,00;0,00;0,00
06.00.292.0150;Επιχορήγηση για την κάλυψη του κόστους κρατικών αρμοδιοτήτων που μεταβιβάστηκαν στις Περιφέρειες;0,00;0,00;0,00;0,00;0,00;-650,00;0,00;-650,00;650,00;-650,00;650,00;0,00;0,00;0,00;0,00
06.00.292.0159;Επιχορήγηση  για λοιπές δαπάνες;0,00;0,00;0,00;0,00;0,00;-650,00;0,00;-650,00;650,00;-650,00;650,00;0,00;0,00;0,00;0,00
06.00.292.0159.α;Επιχορήγηση  για λοιπές δαπάνες;0,00;0,00;0,00;0,00;0,00;-650,00;0,00;-650,00;650,00;-650,00;650,00;0,00;0,00;0,00;0,00
06.00.292.1000;Φόροι-Τέλη και Δικαιώματα υπέρ Ν.Π.Δ.Δ.;0,00;0,00;0,00;0,00;0,00;998,50;0,00;998,50;-998,50;998,50;-998,50;0,00;0,00;0,00;0,00
06.00.292.1200;Έσοδα από τέλη και δικαιώματα;0,00;0,00;0,00;0,00;0,00;998,50;0,00;998,50;-998,50;998,50;-998,50;0,00;0,00;0,00;0,00
06.00.292.1250;Έσοδα Περιφερειών από Κ.Α.Π.;0,00;0,00;0,00;0,00;0,00;998,50;0,00;998,50;-998,50;998,50;-998,50;0,00;0,00;0,00;0,00
06.00.292.1252;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;0,00;0,00;998,50;0,00;998,50;-998,50;998,50;-998,50;0,00;0,00;0,00;0,00
06.00.292.1252.α;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;0,00;0,00;998,50;0,00;998,50;-998,50;998,50;-998,50;0,00;0,00;0,00;0,00
06.00.721;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ;0,00;0,00;0,00;0,00;0,00;-1.226.114,63;0,00;-1.226.114,63;1.226.114,63;-1.226.114,63;1.226.114,63;0,00;0,00;0,00;0,00
06.00.721.1000;Φόροι-Τέλη και Δικαιώματα υπέρ Ν.Π.Δ.Δ.;0,00;0,00;0,00;0,00;0,00;-1.226.114,63;0,00;-1.226.114,63;1.226.114,63;-1.226.114,63;1.226.114,63;0,00;0,00;0,00;0,00
