Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Παραστατικά Εσόδων;Υπόλοιπο Παρ. Εσόδων ως προς Δ.Π.;Βεβαιωθέντα;Διαγραφές Παραγραφές;Τελικά Βεβαιωθέντα;Υπόλοιπο Βεβαιωθέντων    ως προς Δ.Π.;Εισπραχθέντα;Υπόλοιπο Εισπραχθέντων    ως προς Δ.Π.;Υπόλοιπο (Βεβαιωθέντα - Εισπραχθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.
06;Πιστωτικοί Λογ/σμοί Δημ.Λογιστικού;17.249.466,36;8.031.227,51;25.280.693,87;16.323.608,22;8.957.085,65;18.026.495,48;0,00;18.026.495,48;7.254.198,39;17.584.860,19;7.695.833,68;441.635,29;0,00;-16.323.608,22;25.280.693,87
06.00;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;2.273.111,02;-1.907.045,36;366.065,66;0,00;366.065,66;1.197.251,97;0,00;1.197.251,97;-831.186,31;1.197.251,97;-831.186,31;0,00;0,00;0,00;366.065,66
06.00.721;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ;0,00;0,00;0,00;0,00;0,00;986.224,75;0,00;986.224,75;-986.224,75;986.224,75;-986.224,75;0,00;0,00;0,00;0,00
06.00.721.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;0,00;0,00;0,00;0,00;25.277,98;0,00;25.277,98;-25.277,98;25.277,98;-25.277,98;0,00;0,00;0,00;0,00
06.00.721.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;0,00;0,00;0,00;0,00;25.277,98;0,00;25.277,98;-25.277,98;25.277,98;-25.277,98;0,00;0,00;0,00;0,00
06.00.721.3510;Τόκοι κεφαλαίων;0,00;0,00;0,00;0,00;0,00;25.277,98;0,00;25.277,98;-25.277,98;25.277,98;-25.277,98;0,00;0,00;0,00;0,00
06.00.721.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;0,00;0,00;0,00;0,00;25.277,98;0,00;25.277,98;-25.277,98;25.277,98;-25.277,98;0,00;0,00;0,00;0,00
06.00.721.3511.γ;Τόκοι από καταθέσεις σε Τράπεζες (002458-33).;0,00;0,00;0,00;0,00;0,00;24.742,23;0,00;24.742,23;-24.742,23;24.742,23;-24.742,23;0,00;0,00;0,00;0,00
06.00.721.3511.δ;Τόκοι από καταθέσεις σε Τράπεζες (002517-57).;0,00;0,00;0,00;0,00;0,00;535,75;0,00;535,75;-535,75;535,75;-535,75;0,00;0,00;0,00;0,00
06.00.721.6000;Έκτακτα έσοδα;0,00;0,00;0,00;0,00;0,00;960.946,77;0,00;960.946,77;-960.946,77;960.946,77;-960.946,77;0,00;0,00;0,00;0,00
