Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02;ΧΡΕΩΣΤΙΚΟΙ ΛΟΓΑΡΙΑΣΜΟΙ;86.657.874,89;3.075.941,03;89.733.815,92;-30.961.681,52;120.695.497,44;31.721.105,40;58.012.710,52;39.249.147,14;50.484.668,78;40.039.896,53;49.693.919,39;-790.749,39;0,00;-31.721.105,40;89.733.815,92;-30.961.681,52
02.00;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;72.761.440,80;111.100,70;72.872.541,50;0,00;72.872.541,50;0,00;72.872.541,50;0,00;72.872.541,50;0,00;72.872.541,50;0,00;0,00;0,00;72.872.541,50;0,00
02.00.071;ΠΡΟΓΡΑΜΜΑ ΔΗΜΟΣΙΩΝ ΕΠΕΝΔΥΣΕΩΝ μέσω Περιφερειακού Ταμείου Ανάπτυξης;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;0,00;0,00;72.661.440,80;0,00
02.00.071.9000;Πληρωμές για επενδύσεις;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;0,00;0,00;72.661.440,80;0,00
02.00.071.9400;Επενδύσεις που εκτελούνται μέσω του Προυπολογισμού Δημοσίων Επενδύσεων;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;0,00;0,00;70.950.765,13;0,00
02.00.071.9450;Επενδύσεις εκτελούμενες από το περιφερειακό πρόγραμμα Δ.Ε.;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;0,00;0,00;70.950.765,13;0,00
02.00.071.9451; Επενδύσεις για Γεωργία - Δάση - Αλιεία;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00
02.00.071.9451.α;Επενδύσεις ΣΑΕΠ;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00
02.00.071.9451.α.1;Επενδύσεις ΣΑΕΠ;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00
02.00.071.9451.α.1.01;Επενδύσεις ΣΑΕΠ 008;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00
02.00.071.9452;Εγγειοβελτιωτικά Έργα - Βιομηχανία - Ενέργεια - Βιοτεχνία;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;0,00;0,00;7.996.679,88;0,00
02.00.071.9452.α;Επενδύσεις ΣΑΕΠ, ΣΑΜΠ;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;0,00;0,00;7.996.679,88;0,00
02.00.071.9452.α.1;Επενδύσεις ΣΑΜΠ 008 εγγειοβελτιωτικά;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;0,00;0,00;45.000,00;0,00
02.00.071.9452.α.1.01;Επενδύσεις ΣΑΜΠ 008 εγγειοβελτιωτικά;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;0,00;0,00;45.000,00;0,00
02.00.071.9452.α.3;Επενδύσεις ΣΑΕΠ 008/8;5.264.834,08;0,00;5.264.834,08;0,00;5.264.834,08;0,00;5.264.834,08;0,00;5.264.834,08;0,00;5.264.834,08;0,00;0,00;0,00;5.264.834,08;0,00
02.00.071.9452.α.3.1;Επενδύσεις ΣΑΕΠ 008/8 αντιπλημμυρικά;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;0,00;0,00;200.003,40;0,00
02.00.071.9452.α.3.1.01;Επενδύσεις ΣΑΕΠ 008/8 αντιπλημμυρικά;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;0,00;0,00;200.003,40;0,00
02.00.071.9452.α.3.2;Επενδύσεις ΣΑΕΠ 008/8 βιομηχανία;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;0,00;0,00;4.351.860,00;0,00
02.00.071.9452.α.3.2.01;Επενδύσεις ΣΑΕΠ 008/8 βιομηχανία;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;0,00;0,00;4.351.860,00;0,00
02.00.071.9452.α.3.3;Επενδύσεις ΣΑΕΠ 008/8 εγγειοβελτιωτικά;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;0,00;0,00;712.970,68;0,00
02.00.071.9452.α.3.3.01;Επενδύσεις ΣΑΕΠ 008/8 εγγειοβελτιωτικά;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;0,00;0,00;712.970,68;0,00
02.00.071.9452.α.4;Επενδύσεις ΣΑΕΠ 008;2.686.845,80;0,00;2.686.845,80;0,00;2.686.845,80;0,00;2.686.845,80;0,00;2.686.845,80;0,00;2.686.845,80;0,00;0,00;0,00;2.686.845,80;0,00
02.00.071.9452.α.4.α;Επενδύσεις ΣΑΕΠ 008 αντιπλημμυρικά;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;0,00;0,00;2.639.026,00;0,00
02.00.071.9452.α.4.α.01;Επενδύσεις ΣΑΕΠ 008 αντιπλημμυρικά;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;0,00;0,00;2.639.026,00;0,00
02.00.071.9452.α.4.β;Επενδύσεις ΣΑΕΠ 008 εγγειοβελτιωτικά;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;0,00;0,00;47.819,80;0,00
02.00.071.9452.α.4.β.01;Επενδύσεις ΣΑΕΠ 008 εγγειοβελτιωτικά;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;0,00;0,00;47.819,80;0,00
02.00.071.9453;Επενδύσεις για Συγκοινωνίες -Σιδηρόδρομοι;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;0,00;0,00;33.109.447,20;0,00
02.00.071.9453.α;Επενδύσεις ΣΑΕΠ, ΣΑΜΠ;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;0,00;0,00;33.109.447,20;0,00
02.00.071.9453.α.1;Επενδύσεις ΣΑΕΠ 008;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;0,00;0,00;2.451.441,09;0,00
02.00.071.9453.α.1.01;Επενδύσεις ΣΑΕΠ 008;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;0,00;0,00;2.451.441,09;0,00
02.00.071.9453.α.2;Επενδύσεις ΣΑΜΠ 008;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;0,00;0,00;254.243,25;0,00
02.00.071.9453.α.2.01;Επενδύσεις ΣΑΜΠ 008;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;0,00;0,00;254.243,25;0,00
02.00.071.9453.α.4;Επενδύσεις ΣΑΕΠ 008/;30.403.762,86;0,00;30.403.762,86;0,00;30.403.762,86;0,00;30.403.762,86;0,00;30.403.762,86;0,00;30.403.762,86;0,00;0,00;0,00;30.403.762,86;0,00
02.00.071.9453.α.4.α;Επενδύσεις ΣΑΕΠ 008/3 διάφορα;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;0,00;0,00;3.585.238,94;0,00
02.00.071.9453.α.4.α.01;Επενδύσεις ΣΑΕΠ 008/3 διάφορα;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;0,00;0,00;3.585.238,94;0,00
02.00.071.9453.α.4.β;Επενδύσεις ΣΑΕΠ 008/3;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;0,00;0,00;530.000,00;0,00
02.00.071.9453.α.4.β.01;Επενδύσεις ΣΑΕΠ 008/3;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;0,00;0,00;530.000,00;0,00
02.00.071.9453.α.4.γ;Επενδύσεις ΣΑΕΠ 008/2;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;0,00;0,00;4.000.000,00;0,00
02.00.071.9453.α.4.γ.01;Επενδύσεις ΣΑΕΠ 008/2;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;0,00;0,00;4.000.000,00;0,00
02.00.071.9453.α.4.δ;Επενδύσεις ΣΑΕΠ 008/8;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;0,00;0,00;22.288.523,92;0,00
02.00.071.9453.α.4.δ.01;Επενδύσεις ΣΑΕΠ 008/8;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;0,00;0,00;22.288.523,92;0,00
02.00.071.9454;Τουρισμός - Μουσεία - Μνημεία - Εκπαίδευση;10.003.040,88;0,00;10.003.040,88;0,00;10.003.040,88;0,00;10.003.040,88;0,00;10.003.040,88;0,00;10.003.040,88;0,00;0,00;0,00;10.003.040,88;0,00
02.00.071.9454.α;Επενδύσεις ΣΑΕΠ τουρισμός;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00;0,00
02.00.071.9454.α.3;Επενδύσεις ΣΑΕΠ;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00;0,00
02.00.071.9454.α.3.1;Επενδύσεις  ΣΑΕΠ 008/8;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00;0,00
02.00.071.9454.α.3.1.01;Επενδύσεις  ΣΑΕΠ 008/8;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00;0,00
02.00.071.9454.β;Επενδύσεις ΣΑΕΠ, ΣΑΝΑ εκπαίδευση;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;0,00;0,00;9.753.040,88;0,00
02.00.071.9454.β.3;Επενδύσεις ΣΑΕΠ, ΣΑΝΑ;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;0,00;0,00;9.753.040,88;0,00
02.00.071.9454.β.3.1;Επενδύσεις ΣΑΕΠ 008/8;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;0,00;0,00;3.853.040,88;0,00
02.00.071.9454.β.3.1.01;Επενδύσεις ΣΑΕΠ 008/8;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;0,00;0,00;3.853.040,88;0,00
02.00.071.9454.β.3.2;Επενδύσεις ΣΑΝΑ 015/8;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;0,00;0,00;3.400.000,00;0,00
02.00.071.9454.β.3.2.01;Επενδύσεις ΣΑΝΑ 015/8;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;0,00;0,00;3.400.000,00;0,00
02.00.071.9454.β.3.3;Επενδύσεις ΣΑΝΑ 037/8;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;0,00;0,00;1.500.000,00;0,00
02.00.071.9454.β.3.3.01;Επενδύσεις ΣΑΝΑ 037/8;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;0,00;0,00;1.500.000,00;0,00
02.00.071.9454.β.3.4;Επενδύσεις ΣΑΝΑ 038/8;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;0,00;0,00;1.000.000,00;0,00
02.00.071.9454.β.3.4.01;Επενδύσεις ΣΑΝΑ 038/8;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;0,00;0,00;1.000.000,00;0,00
