Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02;ΧΡΕΩΣΤΙΚΟΙ ΛΟΓΑΡΙΑΣΜΟΙ;198.369.489,17;39.679.816,34;238.049.305,51;114.907.678,92;123.141.626,59;15.109.043,93;222.940.261,58;110.776.768,49;127.272.537,02;108.276.293,36;129.773.012,15;2.500.475,13;0,00;-15.109.043,93;238.049.305,51;114.907.678,92
02.00;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;6.517.561,60;-1.983.814,91;4.533.746,69;1.567.451,24;2.966.295,45;-72.579,93;4.606.326,62;1.457.869,71;3.075.876,98;1.457.869,71;3.075.876,98;0,00;0,00;72.579,93;4.533.746,69;1.567.451,24
02.00.725;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΝΟΜΑΡΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΕΡΓΩΝ ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΑΠΟ Κ.Α.Π.;6.517.561,60;-1.983.814,91;4.533.746,69;1.567.451,24;2.966.295,45;-72.579,93;4.606.326,62;1.457.869,71;3.075.876,98;1.457.869,71;3.075.876,98;0,00;0,00;72.579,93;4.533.746,69;1.567.451,24
02.00.725.0000;Πληρωμές για Υπηρεσίες;0,00;40.000,00;40.000,00;33.174,30;6.825,70;0,00;40.000,00;33.174,30;6.825,70;33.174,30;6.825,70;0,00;0,00;0,00;40.000,00;33.174,30
02.00.725.0700;Πληρωμές για μετακινήσεις;0,00;40.000,00;40.000,00;33.174,30;6.825,70;0,00;40.000,00;33.174,30;6.825,70;33.174,30;6.825,70;0,00;0,00;0,00;40.000,00;33.174,30
02.00.725.0710;Πληρωμές για μετακινήσιες;0,00;40.000,00;40.000,00;33.174,30;6.825,70;0,00;40.000,00;33.174,30;6.825,70;33.174,30;6.825,70;0,00;0,00;0,00;40.000,00;33.174,30
02.00.725.0711;Έξοδα μετακίνησης στο εσωτερικό μόνιμου προσωπικού;0,00;40.000,00;40.000,00;33.174,30;6.825,70;0,00;40.000,00;33.174,30;6.825,70;33.174,30;6.825,70;0,00;0,00;0,00;40.000,00;33.174,30
02.00.725.9000;Πληρωμές για επενδύσεις;6.517.561,60;-2.023.814,91;4.493.746,69;1.534.276,94;2.959.469,75;-72.579,93;4.566.326,62;1.424.695,41;3.069.051,28;1.424.695,41;3.069.051,28;0,00;0,00;72.579,93;4.493.746,69;1.534.276,94
02.00.725.9700;Επενδύσεις εκτελούμενες απο τα έσοδα των ΝΠΔΔ;4.417.561,60;-2.412.561,60;2.005.000,00;0,00;2.005.000,00;0,00;2.005.000,00;0,00;2.005.000,00;0,00;2.005.000,00;0,00;0,00;0,00;2.005.000,00;0,00
02.00.725.9770;Εκτέλεση έργων;2.997.561,60;-2.897.561,60;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00
02.00.725.9771;Εκτέλεση συγκοινωνιακών έργων;720.000,00;-720.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.9772;Εκτέλεση λιμενικών έργων;135.000,00;-135.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.9777;Εκτέλεση έργων αθλητισμού;750.000,00;-650.000,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00
02.00.725.9779;Εκτέλεση λοιπών έργων που δεν κατονομάζονται ειδικά;1.392.561,60;-1.392.561,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.9780;Συντήρηση έργων;1.420.000,00;485.000,00;1.905.000,00;0,00;1.905.000,00;0,00;1.905.000,00;0,00;1.905.000,00;0,00;1.905.000,00;0,00;0,00;0,00;1.905.000,00;0,00
02.00.725.9781;Συντήρηση συγκοινωνιακών έργων;1.420.000,00;-480.000,00;940.000,00;0,00;940.000,00;0,00;940.000,00;0,00;940.000,00;0,00;940.000,00;0,00;0,00;0,00;940.000,00;0,00
02.00.725.9789;Συντήρηση λοιπών έργων που δεν κατονομάζονται ειδικά;0,00;965.000,00;965.000,00;0,00;965.000,00;0,00;965.000,00;0,00;965.000,00;0,00;965.000,00;0,00;0,00;0,00;965.000,00;0,00
02.00.725.9800;Επενδύσεις εκτελούμενες απο τα έσοδα των ΝΠΔΔ;2.100.000,00;388.746,69;2.488.746,69;1.534.276,94;954.469,75;-72.579,93;2.561.326,62;1.424.695,41;1.064.051,28;1.424.695,41;1.064.051,28;0,00;0,00;72.579,93;2.488.746,69;1.534.276,94
02.00.725.9890;Λοιποί σκοποί;2.100.000,00;388.746,69;2.488.746,69;1.534.276,94;954.469,75;-72.579,93;2.561.326,62;1.424.695,41;1.064.051,28;1.424.695,41;1.064.051,28;0,00;0,00;72.579,93;2.488.746,69;1.534.276,94
02.00.725.9899;Λοιπές δαπάνες;2.100.000,00;388.746,69;2.488.746,69;1.534.276,94;954.469,75;-72.579,93;2.561.326,62;1.424.695,41;1.064.051,28;1.424.695,41;1.064.051,28;0,00;0,00;72.579,93;2.488.746,69;1.534.276,94
02.00.725.9899.α;Δράσεις & ενέργειες για την ανάπτυξη του τουρισμού;300.000,00;-61.530,00;238.470,00;153.016,40;85.453,60;0,00;238.470,00;153.016,40;85.453,60;153.016,40;85.453,60;0,00;0,00;0,00;238.470,00;153.016,40
02.00.725.9899.β;Προετοιμασία, υλοποίηση & ολοκλήρωση ευρωπαϊκών προγραμμάτων;450.000,00;-318.992,31;131.007,69;55.061,95;75.945,74;0,00;131.007,69;55.061,95;75.945,74;55.061,95;75.945,74;0,00;0,00;0,00;131.007,69;55.061,95
02.00.725.9899.γ;Αποπληρωμή οφειλών έργων σχολικής στέγης;1.200.000,00;836.269,00;2.036.269,00;1.312.109,59;724.159,41;-68.997,75;2.105.266,75;1.202.528,06;833.740,94;1.202.528,06;833.740,94;0,00;0,00;68.997,75;2.036.269,00;1.312.109,59
